id, 'buying', 'maint', 'doors', 'persons', 'lug_boot', 'safety', 'label'
0,3,3,0,0,0,0,unacc
1,3,3,0,0,0,1,unacc
2,3,3,0,0,0,2,unacc
3,3,3,0,0,1,0,unacc
4,3,3,0,0,1,1,unacc
5,3,3,0,0,1,2,unacc
6,3,3,0,0,2,0,unacc
7,3,3,0,0,2,1,unacc
8,3,3,0,0,2,2,unacc
9,3,3,0,1,0,0,unacc
10,3,3,0,1,0,1,unacc
11,3,3,0,1,0,2,unacc
12,3,3,0,1,1,0,unacc
13,3,3,0,1,1,1,unacc
14,3,3,0,1,1,2,unacc
15,3,3,0,1,2,0,unacc
16,3,3,0,1,2,1,unacc
17,3,3,0,1,2,2,unacc
18,3,3,0,2,0,0,unacc
19,3,3,0,2,0,1,unacc
20,3,3,0,2,0,2,unacc
21,3,3,0,2,1,0,unacc
22,3,3,0,2,1,1,unacc
23,3,3,0,2,1,2,unacc
24,3,3,0,2,2,0,unacc
25,3,3,0,2,2,1,unacc
26,3,3,0,2,2,2,unacc
27,3,3,1,0,0,0,unacc
28,3,3,1,0,0,1,unacc
29,3,3,1,0,0,2,unacc
30,3,3,1,0,1,0,unacc
31,3,3,1,0,1,1,unacc
32,3,3,1,0,1,2,unacc
33,3,3,1,0,2,0,unacc
34,3,3,1,0,2,1,unacc
35,3,3,1,0,2,2,unacc
36,3,3,1,1,0,0,unacc
37,3,3,1,1,0,1,unacc
38,3,3,1,1,0,2,unacc
39,3,3,1,1,1,0,unacc
40,3,3,1,1,1,1,unacc
41,3,3,1,1,1,2,unacc
42,3,3,1,1,2,0,unacc
43,3,3,1,1,2,1,unacc
44,3,3,1,1,2,2,unacc
45,3,3,1,2,0,0,unacc
46,3,3,1,2,0,1,unacc
47,3,3,1,2,0,2,unacc
48,3,3,1,2,1,0,unacc
49,3,3,1,2,1,1,unacc
50,3,3,1,2,1,2,unacc
51,3,3,1,2,2,0,unacc
52,3,3,1,2,2,1,unacc
53,3,3,1,2,2,2,unacc
54,3,3,2,0,0,0,unacc
55,3,3,2,0,0,1,unacc
56,3,3,2,0,0,2,unacc
57,3,3,2,0,1,0,unacc
58,3,3,2,0,1,1,unacc
59,3,3,2,0,1,2,unacc
60,3,3,2,0,2,0,unacc
61,3,3,2,0,2,1,unacc
62,3,3,2,0,2,2,unacc
63,3,3,2,1,0,0,unacc
64,3,3,2,1,0,1,unacc
65,3,3,2,1,0,2,unacc
66,3,3,2,1,1,0,unacc
67,3,3,2,1,1,1,unacc
68,3,3,2,1,1,2,unacc
69,3,3,2,1,2,0,unacc
70,3,3,2,1,2,1,unacc
71,3,3,2,1,2,2,unacc
72,3,3,2,2,0,0,unacc
73,3,3,2,2,0,1,unacc
74,3,3,2,2,0,2,unacc
75,3,3,2,2,1,0,unacc
76,3,3,2,2,1,1,unacc
77,3,3,2,2,1,2,unacc
78,3,3,2,2,2,0,unacc
79,3,3,2,2,2,1,unacc
80,3,3,2,2,2,2,unacc
81,3,3,3,0,0,0,unacc
82,3,3,3,0,0,1,unacc
83,3,3,3,0,0,2,unacc
84,3,3,3,0,1,0,unacc
85,3,3,3,0,1,1,unacc
86,3,3,3,0,1,2,unacc
87,3,3,3,0,2,0,unacc
88,3,3,3,0,2,1,unacc
89,3,3,3,0,2,2,unacc
90,3,3,3,1,0,0,unacc
91,3,3,3,1,0,1,unacc
92,3,3,3,1,0,2,unacc
93,3,3,3,1,1,0,unacc
94,3,3,3,1,1,1,unacc
95,3,3,3,1,1,2,unacc
96,3,3,3,1,2,0,unacc
97,3,3,3,1,2,1,unacc
98,3,3,3,1,2,2,unacc
99,3,3,3,2,0,0,unacc
100,3,3,3,2,0,1,unacc
101,3,3,3,2,0,2,unacc
102,3,3,3,2,1,0,unacc
103,3,3,3,2,1,1,unacc
104,3,3,3,2,1,2,unacc
105,3,3,3,2,2,0,unacc
106,3,3,3,2,2,1,unacc
107,3,3,3,2,2,2,unacc
108,3,2,0,0,0,0,unacc
109,3,2,0,0,0,1,unacc
110,3,2,0,0,0,2,unacc
111,3,2,0,0,1,0,unacc
112,3,2,0,0,1,1,unacc
113,3,2,0,0,1,2,unacc
114,3,2,0,0,2,0,unacc
115,3,2,0,0,2,1,unacc
116,3,2,0,0,2,2,unacc
117,3,2,0,1,0,0,unacc
118,3,2,0,1,0,1,unacc
119,3,2,0,1,0,2,unacc
120,3,2,0,1,1,0,unacc
121,3,2,0,1,1,1,unacc
122,3,2,0,1,1,2,unacc
123,3,2,0,1,2,0,unacc
124,3,2,0,1,2,1,unacc
125,3,2,0,1,2,2,unacc
126,3,2,0,2,0,0,unacc
127,3,2,0,2,0,1,unacc
128,3,2,0,2,0,2,unacc
129,3,2,0,2,1,0,unacc
130,3,2,0,2,1,1,unacc
131,3,2,0,2,1,2,unacc
132,3,2,0,2,2,0,unacc
133,3,2,0,2,2,1,unacc
134,3,2,0,2,2,2,unacc
135,3,2,1,0,0,0,unacc
136,3,2,1,0,0,1,unacc
137,3,2,1,0,0,2,unacc
138,3,2,1,0,1,0,unacc
139,3,2,1,0,1,1,unacc
140,3,2,1,0,1,2,unacc
141,3,2,1,0,2,0,unacc
142,3,2,1,0,2,1,unacc
143,3,2,1,0,2,2,unacc
144,3,2,1,1,0,0,unacc
145,3,2,1,1,0,1,unacc
146,3,2,1,1,0,2,unacc
147,3,2,1,1,1,0,unacc
148,3,2,1,1,1,1,unacc
149,3,2,1,1,1,2,unacc
150,3,2,1,1,2,0,unacc
151,3,2,1,1,2,1,unacc
152,3,2,1,1,2,2,unacc
153,3,2,1,2,0,0,unacc
154,3,2,1,2,0,1,unacc
155,3,2,1,2,0,2,unacc
156,3,2,1,2,1,0,unacc
157,3,2,1,2,1,1,unacc
158,3,2,1,2,1,2,unacc
159,3,2,1,2,2,0,unacc
160,3,2,1,2,2,1,unacc
161,3,2,1,2,2,2,unacc
162,3,2,2,0,0,0,unacc
163,3,2,2,0,0,1,unacc
164,3,2,2,0,0,2,unacc
165,3,2,2,0,1,0,unacc
166,3,2,2,0,1,1,unacc
167,3,2,2,0,1,2,unacc
168,3,2,2,0,2,0,unacc
169,3,2,2,0,2,1,unacc
170,3,2,2,0,2,2,unacc
171,3,2,2,1,0,0,unacc
172,3,2,2,1,0,1,unacc
173,3,2,2,1,0,2,unacc
174,3,2,2,1,1,0,unacc
175,3,2,2,1,1,1,unacc
176,3,2,2,1,1,2,unacc
177,3,2,2,1,2,0,unacc
178,3,2,2,1,2,1,unacc
179,3,2,2,1,2,2,unacc
180,3,2,2,2,0,0,unacc
181,3,2,2,2,0,1,unacc
182,3,2,2,2,0,2,unacc
183,3,2,2,2,1,0,unacc
184,3,2,2,2,1,1,unacc
185,3,2,2,2,1,2,unacc
186,3,2,2,2,2,0,unacc
187,3,2,2,2,2,1,unacc
188,3,2,2,2,2,2,unacc
189,3,2,3,0,0,0,unacc
190,3,2,3,0,0,1,unacc
191,3,2,3,0,0,2,unacc
192,3,2,3,0,1,0,unacc
193,3,2,3,0,1,1,unacc
194,3,2,3,0,1,2,unacc
195,3,2,3,0,2,0,unacc
196,3,2,3,0,2,1,unacc
197,3,2,3,0,2,2,unacc
198,3,2,3,1,0,0,unacc
199,3,2,3,1,0,1,unacc
200,3,2,3,1,0,2,unacc
201,3,2,3,1,1,0,unacc
202,3,2,3,1,1,1,unacc
203,3,2,3,1,1,2,unacc
204,3,2,3,1,2,0,unacc
205,3,2,3,1,2,1,unacc
206,3,2,3,1,2,2,unacc
207,3,2,3,2,0,0,unacc
208,3,2,3,2,0,1,unacc
209,3,2,3,2,0,2,unacc
210,3,2,3,2,1,0,unacc
211,3,2,3,2,1,1,unacc
212,3,2,3,2,1,2,unacc
213,3,2,3,2,2,0,unacc
214,3,2,3,2,2,1,unacc
215,3,2,3,2,2,2,unacc
216,3,1,0,0,0,0,unacc
217,3,1,0,0,0,1,unacc
218,3,1,0,0,0,2,unacc
219,3,1,0,0,1,0,unacc
220,3,1,0,0,1,1,unacc
221,3,1,0,0,1,2,unacc
222,3,1,0,0,2,0,unacc
223,3,1,0,0,2,1,unacc
224,3,1,0,0,2,2,unacc
225,3,1,0,1,0,0,unacc
226,3,1,0,1,0,1,unacc
227,3,1,0,1,0,2,acc
228,3,1,0,1,1,0,unacc
229,3,1,0,1,1,1,unacc
230,3,1,0,1,1,2,acc
231,3,1,0,1,2,0,unacc
232,3,1,0,1,2,1,acc
233,3,1,0,1,2,2,acc
234,3,1,0,2,0,0,unacc
235,3,1,0,2,0,1,unacc
236,3,1,0,2,0,2,unacc
237,3,1,0,2,1,0,unacc
238,3,1,0,2,1,1,unacc
239,3,1,0,2,1,2,acc
240,3,1,0,2,2,0,unacc
241,3,1,0,2,2,1,acc
242,3,1,0,2,2,2,acc
243,3,1,1,0,0,0,unacc
244,3,1,1,0,0,1,unacc
245,3,1,1,0,0,2,unacc
246,3,1,1,0,1,0,unacc
247,3,1,1,0,1,1,unacc
248,3,1,1,0,1,2,unacc
